No.,tt,CO2_outdoor,PM2.5_outdoor,PM10_outdoor,CO2_classroom,PM2.5_classroom,PM10_classroom,CO2_classroom_change,PM2.5_classroom_change,PM10_classroom_change,attend_manual,vent_manual
113,2019-10-28 20:46:36,437.333,7381738.85,10258155.0,481.0,1752507.3199999998,3410498.0,0.0,-17365.115000000224,-1029240.0,0.0,0.0
114,2019-10-28 20:47:36,436.322,7650368.3,15710561.0,480.0,1769407.165,3537399.0,-1.0,16899.845000000205,126901.0,0.0,0.0
115,2019-10-28 20:48:36,429.245,7643982.449999999,13976367.0,480.0,1770682.0099999998,4120832.0,0.0,1274.8449999997392,583433.0,0.0,0.0
116,2019-10-28 20:49:36,429.245,7551147.6,10005078.0,480.0,1834485.4899999998,4215779.0,0.0,63803.47999999998,94947.0,0.0,0.0
117,2019-10-28 20:50:36,437.333,7558088.499999999,8646553.0,479.0,1831242.125,3623259.0,-1.0,-3243.364999999758,-592520.0,0.0,0.0
118,2019-10-28 20:51:36,446.432,7695946.05,10205793.0,479.0,1768247.0899999999,3395368.0,0.0,-62995.03500000015,-227891.0,0.0,0.0
119,2019-10-28 20:52:36,441.377,7596403.05,9466589.0,480.0,1793514.25,4426748.0,1.0,25267.16000000015,1031380.0,0.0,0.0
120,2019-10-28 20:53:36,425.201,7764523.249999999,8322173.0,480.0,1802450.88,3599169.0,0.0,8936.629999999888,-827579.0,0.0,0.0
121,2019-10-28 20:54:36,428.234,7715790.6,11565512.0,480.0,1792517.0999999999,3445440.0,0.0,-9933.780000000028,-153729.0,0.0,0.0
122,2019-10-28 20:55:36,421.157,7717002.05,8182949.0,479.0,1801707.46,4127848.0,-1.0,9190.360000000102,682408.0,0.0,0.0
123,2019-10-28 20:56:36,428.234,7763463.899999999,10340308.0,477.0,1779282.5499999998,4289593.0,-2.0,-22424.91000000015,161745.0,0.0,0.0
124,2019-10-28 20:57:36,436.322,7849129.1,10678553.0,476.0,1749336.4499999997,3678388.0,-1.0,-29946.100000000093,-611205.0,0.0,0.0
125,2019-10-28 20:58:36,439.355,7738844.749999999,9963691.0,477.0,1795942.91,4869442.0,1.0,46606.460000000196,1191054.0,0.0,0.0
126,2019-10-28 20:59:36,436.322,7693459.199999999,9119940.0,477.0,1779539.435,3119741.0,0.0,-16403.47499999986,-1749701.0,0.0,0.0
127,2019-10-28 21:00:36,441.377,7724868.05,9245020.0,477.0,1753618.56,4045128.0,0.0,-25920.875,925387.0,0.0,0.0
128,2019-10-28 21:01:36,438.344,7527202.749999999,6979724.0,476.0,1787888.64,2878358.0,-1.0,34270.07999999984,-1166770.0,0.0,0.0
129,2019-10-28 21:02:36,444.41,7536067.399999999,9207938.0,476.0,1749075.0799999998,2354082.0,0.0,-38813.560000000056,-524276.0,0.0,0.0
130,2019-10-28 21:03:36,443.399,7556157.199999999,8191438.0,475.0,1751874.585,3323567.0,-1.0,2799.505000000121,969485.0,0.0,0.0
131,2019-10-28 21:04:36,437.333,7504552.949999999,6509479.0,474.0,1731402.5699999998,2443751.0,-1.0,-20472.01500000013,-879816.0,0.0,0.0
132,2019-10-28 21:05:36,444.41,7485879.699999999,7255005.0,474.0,1718218.265,3944707.0,0.0,-13184.304999999935,1500956.0,0.0,0.0
133,2019-10-28 21:06:36,447.443,7339667.35,8218545.0,474.0,1746764.805,3479784.0,0.0,28546.540000000037,-464923.0,0.0,0.0
134,2019-10-28 21:07:36,442.388,7425702.8,9425229.0,475.0,1762796.8499999999,3360649.0,1.0,16032.044999999925,-119135.0,0.0,0.0
135,2019-10-28 21:08:36,435.311,7439884.1,8275535.0,474.0,1741598.9049999998,3940623.0,-1.0,-21197.945000000065,579974.0,0.0,0.0
136,2019-10-28 21:09:36,436.322,7418603.05,8698696.0,474.0,1753157.5899999999,3466669.0,0.0,11558.685000000056,-473954.0,0.0,0.0
137,2019-10-28 21:10:36,429.245,7759180.899999999,7615800.0,473.0,1793880.46,3322498.0,-1.0,40722.87000000011,-144171.0,0.0,0.0
138,2019-10-28 21:11:36,426.212,7694651.05,8098785.0,472.0,1762607.535,3038784.0,-1.0,-31272.925000000047,-283714.0,0.0,0.0
139,2019-10-28 21:12:36,434.3,7696081.55,9230209.0,472.0,1759581.02,3962450.0,0.0,-3026.5149999998976,923666.0,0.0,0.0
140,2019-10-28 21:13:36,433.289,7563305.05,8093505.0,472.0,1774540.2599999998,3048315.0,0.0,14959.239999999758,-914135.0,0.0,0.0
141,2019-10-28 21:14:36,428.234,7679043.3,9680698.0,471.0,1796403.7799999998,3666315.0,-1.0,21863.52000000002,618000.0,0.0,0.0
142,2019-10-28 21:15:36,424.19,7727544.149999999,9507255.0,471.0,1796080.73,2851559.0,0.0,-323.04999999981374,-814756.0,0.0,0.0
143,2019-10-28 21:16:36,431.267,7676307.249999999,9436900.0,471.0,1808701.91,2539919.0,0.0,12621.179999999935,-311640.0,0.0,0.0
144,2019-10-28 21:17:36,427.223,7709097.249999999,8273270.0,471.0,1827848.48,1949789.0,0.0,19146.570000000065,-590130.0,0.0,0.0
145,2019-10-28 21:18:36,422.168,7857429.6,9783951.0,471.0,1849320.0899999999,3016138.0,0.0,21471.60999999987,1066349.0,0.0,0.0
146,2019-10-28 21:19:36,426.212,7968286.999999999,9826188.0,471.0,1840079.0099999998,4473013.0,0.0,-9241.080000000075,1456875.0,0.0,0.0
147,2019-10-28 21:20:36,431.267,7905029.899999999,6694941.0,471.0,1845393.935,3373764.0,0.0,5314.925000000279,-1099249.0,0.0,0.0
148,2019-10-28 21:21:36,430.256,7992312.05,9096640.0,470.0,1794285.7199999997,2704498.0,-1.0,-51108.21500000032,-669266.0,0.0,0.0
149,2019-10-28 21:22:36,427.223,8062472.949999999,10866153.0,471.0,1776361.77,3286460.0,1.0,-17923.94999999972,581962.0,0.0,0.0
150,2019-10-28 21:23:36,429.245,8007238.249999999,9132051.0,471.0,1778078.7199999997,2654399.0,0.0,1716.9499999997206,-632061.0,0.0,0.0
151,2019-10-28 21:24:36,423.179,7832518.55,13690163.0,470.0,1880072.42,3158613.0,-1.0,101993.70000000019,504214.0,0.0,0.0
152,2019-10-28 21:25:36,420.146,7787342.249999999,12573592.0,470.0,1853943.9899999998,3897442.0,0.0,-26128.430000000168,738829.0,0.0,0.0
153,2019-10-28 21:26:36,421.157,7941493.699999999,11232518.0,469.0,1850675.265,3784379.0,-1.0,-3268.7249999998603,-113063.0,0.0,0.0
154,2019-10-28 21:27:36,432.278,7997473.6,7594515.0,469.0,1819742.085,3388200.0,0.0,-30933.179999999935,-396179.0,0.0,0.0
155,2019-10-28 21:28:36,430.256,7942828.35,9087484.0,469.0,1818598.4699999997,4215404.0,0.0,-1143.6150000002235,827204.0,0.0,0.0
156,2019-10-28 21:29:36,434.3,7995594.85,6935974.0,468.0,1823749.7799999998,2400695.0,-1.0,5151.310000000056,-1814709.0,0.0,0.0
157,2019-10-28 21:30:36,424.19,7893534.499999999,7641153.0,468.0,1789964.0099999998,2740261.0,0.0,-33785.77000000002,339566.0,0.0,0.0
158,2019-10-28 21:31:36,428.234,7901410.199999999,7941943.0,468.0,1796176.15,3848664.0,0.0,6212.14000000013,1108403.0,0.0,0.0
159,2019-10-28 21:32:36,423.179,7956073.85,7006579.0,468.0,1808690.04,1688373.0,0.0,12513.89000000013,-2160291.0,0.0,0.0
160,2019-10-28 21:33:36,427.223,7871452.749999999,7752203.0,467.0,1826315.4049999998,2933460.0,-1.0,17625.364999999758,1245087.0,0.0,0.0
161,2019-10-28 21:34:36,433.289,7813640.499999999,7805165.0,467.0,1785653.5699999998,3669080.0,0.0,-40661.83499999996,735620.0,0.0,0.0
162,2019-10-28 21:35:36,431.267,7857588.199999999,7674428.0,467.0,1810941.855,1931769.0,0.0,25288.28500000015,-1737311.0,0.0,0.0
163,2019-10-28 21:36:36,430.256,7947769.85,10238247.0,467.0,1759970.8699999999,3106626.0,0.0,-50970.9850000001,1174857.0,0.0,0.0
164,2019-10-28 21:37:36,432.278,7671382.499999999,7979400.0,467.0,1809822.65,3104138.0,0.0,49851.78000000003,-2488.0,0.0,0.0
165,2019-10-28 21:38:36,449.465,7485626.85,8786446.0,467.0,1803883.5999999999,4858121.0,0.0,-5939.050000000047,1753983.0,0.0,0.0
166,2019-10-28 21:39:36,443.399,7503434.199999999,7892094.0,466.0,1798008.8699999999,2744789.0,-1.0,-5874.729999999981,-2113332.0,0.0,0.0
167,2019-10-28 21:40:36,446.432,7557602.1,8000629.0,467.0,1776108.18,2202493.0,1.0,-21900.689999999944,-542296.0,0.0,0.0
168,2019-10-28 21:41:36,444.41,7651687.85,7495288.0,467.0,1755756.8299999998,2073133.0,0.0,-20351.350000000093,-129360.0,0.0,0.0
169,2019-10-28 21:42:36,443.399,7503618.749999999,8160678.0,467.0,1764384.1099999999,2608705.0,0.0,8627.280000000028,535572.0,0.0,0.0
170,2019-10-28 21:43:36,433.289,7557504.649999999,7721443.0,467.0,1750525.2399999998,3618633.0,0.0,-13858.870000000112,1009928.0,0.0,0.0
171,2019-10-28 21:44:36,439.355,7220184.85,8732038.0,467.0,1733521.52,1976021.0,0.0,-17003.71999999974,-1642612.0,0.0,0.0
172,2019-10-28 21:45:36,447.443,6938432.299999999,8190367.0,466.0,1701660.8199999998,2066409.0,-1.0,-31860.700000000186,90388.0,0.0,0.0
173,2019-10-28 21:46:36,437.333,6806901.1,8009339.0,465.0,1718176.9699999997,2220069.0,-1.0,16516.149999999907,153660.0,0.0,0.0
174,2019-10-28 21:47:36,436.322,6572424.799999999,6991074.0,465.0,1706062.2249999999,3203113.0,0.0,-12114.744999999879,983044.0,0.0,0.0
175,2019-10-28 21:48:36,441.377,6434696.049999999,8403699.0,465.0,1738675.755,2450919.0,0.0,32613.530000000028,-752194.0,0.0,0.0
176,2019-10-28 21:49:36,444.41,6405846.949999999,7058566.0,465.0,1715470.3649999998,1409189.0,0.0,-23205.39000000013,-1041730.0,0.0,0.0
177,2019-10-28 21:50:36,442.388,6440359.6,7236387.0,464.0,1690685.775,1411677.0,-1.0,-24784.58999999985,2488.0,0.0,0.0
