tt,0.3_outdoor,0.5_outdoor,1.0_outdoor,3.0_outdoor,5.0_outdoor,10.0_outdoor,0.3_classroom,0.5_classroom,1.0_classroom,3.0_classroom,5.0_classroom,10.0_classroom,CO2_outdoor,CO2_classroom,PM2.5_outdoor,PM10_outdoor,PM2.5_classroom,PM10_classroom,PM2.5_classroom_change,PM10_classroom_change,CO2_classroom_change,time
2019-12-02 15:33:02,1284179.13,859231.5,968198.0,2032155.0,4814500.0,4947000.0,226055.82599999997,245362.25,266078.0,400707.0,441750.0,1413000.0,418.0,592.4,3133855.890000002,12595175.4,816764.9368,3049311.8,-38552.76580000005,-143445.0,-8.200000000000045,0.5983246005706593
2019-12-02 15:34:02,1292202.7199999997,861705.0,977032.0,2118015.0,6051250.0,2827000.0,223737.44399999996,238515.875,241696.0,286227.0,1060125.0,353000.0,420.2,589.2,3103345.338000002,12072881.0,780577.0606000001,2739022.8,-36187.87619999994,-310289.0,-3.199999999999932,0.5948227867513417
2019-12-02 15:35:02,1310120.1899999997,865017.75,941343.0,2175255.0,5212000.0,3887000.0,205657.97399999996,227120.125,217315.0,333909.0,485875.0,353000.0,425.8,586.8,3097473.966000002,11425566.4,738870.8600000001,2202582.0,-41706.20059999998,-536440.7999999998,-2.400000000000091,0.5913096483635822
2019-12-02 15:36:02,1361582.4599999997,909187.25,980919.0,2194344.0,6360375.0,7420000.0,197767.84499999997,221996.5,218021.0,477036.0,706750.0,707000.0,429.8,582.8,3132914.6360000023,12173165.4,701423.1810000001,2031781.0,-37447.679000000004,-170801.0,-4.0,0.5877852522924732
2019-12-02 15:37:02,1402235.0099999998,927561.875,1046290.0,2432862.0,5962875.0,4594000.0,202175.62199999997,223409.875,225795.0,524745.0,839250.0,1413000.0,430.8,579.2,3197360.9770000027,12605726.2,676140.8672,1959074.8,-25282.31380000012,-72706.19999999995,-3.599999999999909,0.5842496656374347
2019-12-02 15:38:02,1447095.2399999998,962985.875,1170671.0,2709531.0,6978750.0,8481000.0,182569.62599999996,207332.125,216608.0,295758.0,397500.0,707000.0,425.4,575.8,3291189.6740000024,13880851.4,649943.6022000001,1788035.0,-26197.264999999898,-171039.80000000005,-3.400000000000091,0.5807029557109403
2019-12-02 15:39:02,1465518.15,968463.0,1075972.0,2614140.0,6802125.0,5300000.0,178009.19099999996,199337.5,212014.0,305289.0,530000.0,353000.0,424.2,573.2,3366992.360000002,14624851.4,627025.8766000001,1685822.4,-22917.725600000005,-102212.6000000001,-2.599999999999909,0.5771451900372337
2019-12-02 15:40:02,1486297.6199999999,978268.5,1119435.0,2518722.0,6537125.0,6007000.0,174689.05499999996,198056.5,214134.0,352998.0,441750.0,353000.0,419.0,572.6,3460496.3960000025,15382569.8,614383.1678,1680815.2,-12642.708800000022,-5007.199999999953,-0.6000000000000227,0.5735764363510464
2019-12-02 15:41:02,1487471.0399999998,989708.5,1132862.0,2738151.0,7994750.0,6714000.0,173477.376,197349.875,208481.0,324378.0,574250.0,0.0,414.4,573.2,3532166.962000002,15677006.2,602687.7490000001,1482383.6,-11695.418799999985,-198431.59999999986,0.6000000000000227,0.5699967625963036
2019-12-02 15:42:02,1512305.3699999999,1012279.25,1172792.0,2967138.0,6139625.0,8481000.0,160149.12299999996,186219.125,203180.0,257607.0,309125.0,353000.0,415.6,574.4,3596424.909000002,16596611.4,582321.2992,1110931.0,-20366.44980000006,-371452.6000000001,1.1999999999999318,0.5664062369248328
2019-12-02 15:43:02,1527627.5999999999,1017005.25,1205300.0,2814480.0,7288000.0,6007000.0,158641.686,182862.25,194346.0,286227.0,839250.0,0.0,416.4,576.2,3630261.0560000027,16184651.2,568189.3362,1055974.8,-14131.962999999989,-54956.19999999995,1.8000000000000682,0.5628049276950688
2019-12-02 15:44:02,1528982.4599999997,1005212.0,1105654.0,2261142.0,5300375.0,4240000.0,153718.72199999998,170362.25,193640.0,305289.0,839250.0,707000.0,415.0,579.2,3656240.118000003,15601701.6,553861.3924,1188624.8,-14327.943800000008,132650.0,3.0,0.5591929034707472
2019-12-02 15:45:02,1541079.8099999998,1022305.75,1155830.0,2461482.0,4196125.0,7774000.0,155207.06999999998,185733.25,192580.0,276669.0,795000.0,707000.0,415.6,581.4,3683283.0060000024,15475453.6,543189.5454,1314809.0,-10671.847000000067,126184.19999999995,2.199999999999932,0.555570233019603
2019-12-02 15:46:02,1558491.5699999998,1039487.75,1178092.0,2337444.0,6404625.0,6360000.0,164356.55999999997,199470.0,214841.0,429327.0,706750.0,707000.0,417.0,583.0,3716488.9620000026,15006487.2,543061.4072,1503698.8,-128.13819999992847,188889.80000000005,1.6000000000000227,0.5519369853120584
